Schaefer_Region,Brainnetome_Region,Overlap_Percentage
57,103,41.79775280898876
57,109,17.97752808988764
57,93,13.48314606741573
57,115,11.235955056179774
57,215,3.8202247191011236
57,111,2.8089887640449436
57,117,2.696629213483146
57,69,0.5617977528089888
57,211,0.5617977528089888
57,217,0.22471910112359553
58,101,27.76148582600195
58,103,21.407624633431084
58,89,19.35483870967742
58,93,10.948191593352883
58,107,10.068426197458455
58,95,5.669599217986314
58,111,1.466275659824047
58,113,1.0752688172043012
58,217,0.4887585532746823
58,109,0.19550342130987292
59,69,68.1967213114754
59,117,9.672131147540984
59,103,3.606557377049181
59,211,3.4426229508196724
59,49,0.32786885245901637
59,45,0.16393442622950818
59,93,0.16393442622950818
59,109,0.16393442622950818
59,165,0.16393442622950818
59,213,0.16393442622950818
60,77,71.35135135135135
60,69,10.81081081081081
60,73,2.7027027027027026
60,169,2.4324324324324325
60,79,0.8108108108108109
60,43,0.2702702702702703
60,1,0.0
60,2,0.0
60,3,0.0
60,4,0.0
61,141,73.84615384615385
61,139,5.714285714285714
61,137,2.417582417582418
61,1,0.0
61,2,0.0
61,3,0.0
61,4,0.0
61,5,0.0
61,6,0.0
61,7,0.0
62,137,73.41576506955178
62,135,8.809891808346213
62,133,4.945904173106646
62,129,1.3910355486862442
62,139,0.7727975270479135
62,127,0.1545595054095827
62,1,0.0
62,2,0.0
62,3,0.0
62,4,0.0
63,139,79.53488372093022
63,137,5.813953488372093
63,159,3.255813953488372
63,129,2.0930232558139537
63,141,1.3953488372093024
63,1,0.0
63,2,0.0
63,3,0.0
63,4,0.0
63,5,0.0
64,99,55.31609195402298
64,81,24.71264367816092
64,85,8.477011494252872
64,97,4.022988505747127
64,101,3.1609195402298855
64,91,1.8678160919540232
64,95,0.14367816091954022
64,121,0.14367816091954022
64,1,0.0
64,2,0.0
65,45,44.89795918367347
65,43,39.51762523191095
65,27,6.8645640074211505
65,51,3.339517625231911
65,37,0.1855287569573284
65,1,0.0
65,2,0.0
65,3,0.0
65,4,0.0
65,5,0.0
66,27,24.546952224052717
66,51,23.88797364085667
66,35,16.96869851729819
66,21,14.497528830313014
66,43,9.060955518945635
66,19,4.612850082372323
66,31,0.9884678747940692
66,1,0.0
66,2,0.0
66,3,0.0
67,19,69.60110041265474
67,27,19.80742778541953
